,Year,Change in Temperature (°C),Type,Scenario
0,1850.0,-0.4213820152043013,gcm data point,historical
1,1850.0,-3.7822098208727652,gcm data point,historical
2,1850.0,-2.192020129003538,gcm data point,historical
3,1850.0,-0.03148388958953774,gcm data point,historical
4,1850.0,-1.206549388244241,gcm data point,historical
5,1850.0,0.15256389804909531,gcm data point,historical
6,1850.0,0.27418944895077857,gcm data point,historical
7,1850.0,1.5063765028640432,gcm data point,historical
8,1850.0,-0.8839983182510309,gcm data point,historical
9,1850.0,-1.3993193129505812,gcm data point,historical
10,1850.0,-2.510855676699066,gcm data point,historical
11,1850.0,-2.462382360449226,gcm data point,historical
12,1850.0,-2.1059692983703258,gcm data point,historical
13,1850.0,-4.878650732832568,gcm data point,historical
14,1850.0,-3.925228663251744,gcm data point,historical
15,1850.0,-3.782897762299285,gcm data point,historical
16,1850.0,-2.535290488443195,gcm data point,historical
17,1850.0,-2.736497069419727,gcm data point,historical
18,1850.0,-3.0758884628497185,gcm data point,historical
19,1850.0,-4.200587165697186,gcm data point,historical
20,1850.0,-3.398487041189071,gcm data point,historical
21,1850.0,-3.2504581150324725,gcm data point,historical
22,1850.0,0.29404708665128965,gcm data point,historical
23,1850.0,-0.6372513489744165,gcm data point,historical
24,1850.0,-3.7765508796822473,gcm data point,historical
25,1850.0,2.0260084759778465,gcm data point,historical
26,1850.0,0.08335272204664079,gcm data point,historical
27,1850.0,0.1296487426776025,gcm data point,historical
28,1850.0,-3.8964778210564077,gcm data point,historical
29,1850.0,-1.3302161924644906,gcm data point,historical
30,1850.0,-1.4358835579737956,gcm data point,historical
31,1851.0,-1.3393513318772534,gcm data point,historical
32,1851.0,-2.682546076647043,gcm data point,historical
33,1851.0,-2.170418507926172,gcm data point,historical
34,1851.0,-0.9206657678720944,gcm data point,historical
35,1851.0,-2.5719000922351825,gcm data point,historical
36,1851.0,0.13428844504670678,gcm data point,historical
37,1851.0,0.4196080179928572,gcm data point,historical
38,1851.0,0.7041263039432692,gcm data point,historical
39,1851.0,0.22135945313169714,gcm data point,historical
40,1851.0,-1.252253237892944,gcm data point,historical
41,1851.0,-1.7109783907348515,gcm data point,historical
42,1851.0,-3.2711234636154813,gcm data point,historical
43,1851.0,-2.3343816682918828,gcm data point,historical
44,1851.0,-4.189823960223862,gcm data point,historical
45,1851.0,-4.456916441899409,gcm data point,historical
46,1851.0,-2.1601305648949847,gcm data point,historical
47,1851.0,-1.7001795832967446,gcm data point,historical
48,1851.0,-1.5687572654842938,gcm data point,historical
49,1851.0,-3.5175123375123576,gcm data point,historical
50,1851.0,-2.780709524892586,gcm data point,historical
51,1851.0,-4.363798845333747,gcm data point,historical
52,1851.0,-2.2496227597553684,gcm data point,historical
53,1851.0,0.750558774843455,gcm data point,historical
54,1851.0,0.20660915134783409,gcm data point,historical
55,1851.0,-3.503376721104985,gcm data point,historical
56,1851.0,1.959100042079001,gcm data point,historical
57,1851.0,-0.5522070389269516,gcm data point,historical
58,1851.0,-1.3328570331327683,gcm data point,historical
59,1851.0,-3.7384448829847656,gcm data point,historical
60,1851.0,-1.8743247225280584,gcm data point,historical
61,1851.0,-1.4312561318840835,gcm data point,historical
62,1852.0,-0.44361434857836457,gcm data point,historical
63,1852.0,-2.3752269870564646,gcm data point,historical
64,1852.0,-2.94916208496079,gcm data point,historical
65,1852.0,-0.810400184281491,gcm data point,historical
66,1852.0,-1.5857763941648955,gcm data point,historical
67,1852.0,1.6617635928892582,gcm data point,historical
68,1852.0,0.6421182887282839,gcm data point,historical
69,1852.0,2.332498611363178,gcm data point,historical
70,1852.0,-0.7626997105270448,gcm data point,historical
71,1852.0,-1.6559694060238712,gcm data point,historical
72,1852.0,-0.6541419327051585,gcm data point,historical
73,1852.0,-2.135392063600989,gcm data point,historical
74,1852.0,-3.4034853290075375,gcm data point,historical
75,1852.0,-4.076549883646351,gcm data point,historical
76,1852.0,-4.823222005377431,gcm data point,historical
77,1852.0,-2.9211974304353703,gcm data point,historical
78,1852.0,-3.2164600153408287,gcm data point,historical
79,1852.0,-4.121613494564087,gcm data point,historical
80,1852.0,-4.028996575362214,gcm data point,historical
81,1852.0,-3.143983134670009,gcm data point,historical
82,1852.0,-3.9891345567104395,gcm data point,historical
83,1852.0,-3.458562331755047,gcm data point,historical
84,1852.0,0.914248236734295,gcm data point,historical
85,1852.0,-0.19521767636672394,gcm data point,historical
86,1852.0,-4.387289158839906,gcm data point,historical
87,1852.0,2.93872193889689,gcm data point,historical
88,1852.0,-1.795635375377799,gcm data point,historical
89,1852.0,-0.660462327109542,gcm data point,historical
90,1852.0,-2.3208535091657723,gcm data point,historical
91,1852.0,-2.196469518981587,gcm data point,historical
92,1852.0,-1.4774079068105834,gcm data point,historical
93,1853.0,-0.3687087877165709,gcm data point,historical
94,1853.0,-2.8871807551365123,gcm data point,historical
95,1853.0,-1.9489623549525277,gcm data point,historical
96,1853.0,-2.44800904884562,gcm data point,historical
97,1853.0,-1.396443125008659,gcm data point,historical
98,1853.0,0.8762927486959597,gcm data point,historical
99,1853.0,0.1291460119963972,gcm data point,historical
100,1853.0,1.2861604905150443,gcm data point,historical
101,1853.0,-0.6787880666112756,gcm data point,historical
102,1853.0,-1.7203813986727141,gcm data point,historical
103,1853.0,-1.0447444159003112,gcm data point,historical
104,1853.0,-0.8541479953556177,gcm data point,historical
105,1853.0,-3.1825877355983607,gcm data point,historical
106,1853.0,-4.212075122913745,gcm data point,historical
107,1853.0,-4.483253072135824,gcm data point,historical
108,1853.0,-2.8460459785630405,gcm data point,historical
109,1853.0,-2.9056771523932525,gcm data point,historical
110,1853.0,-3.791806584607798,gcm data point,historical
111,1853.0,-3.4589305957649685,gcm data point,historical
112,1853.0,-3.8937607606223423,gcm data point,historical
113,1853.0,-4.73033491201636,gcm data point,historical
114,1853.0,-3.354196276755431,gcm data point,historical
115,1853.0,0.4710077430004844,gcm data point,historical
116,1853.0,0.4843072111750075,gcm data point,historical
117,1853.0,-4.700297759073067,gcm data point,historical
118,1853.0,4.012659675638417,gcm data point,historical
119,1853.0,-0.6823654292332435,gcm data point,historical
120,1853.0,-1.7655294265919679,gcm data point,historical
121,1853.0,-2.579155613297928,gcm data point,historical
122,1853.0,-1.562448028752783,gcm data point,historical
