,max,min,sum,mean,std,skew,kurtosis
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2080_5%_r0.epw,37.83469554572404,14.628185924890804,221109.60608985054,25.171858616786924,2.634686755405506,0.3217081661492078,1.4440543125555192
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2080_5%_r1.epw,36.77124148044636,15.828185924890803,222101.47108236677,25.284775851818438,2.5925122173535953,0.29708862663619906,1.307108651039799
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2080_5%_r2.epw,38.19441773453206,14.628185924890804,221410.2371180787,25.20608346061989,2.7132971469869926,0.5116737053575405,1.8343989651560437
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2080_5%_r3.epw,37.33401690936406,15.298903517483396,221328.9641665332,25.196831075425635,2.7057032977534883,0.2952453682658564,0.868271042086092
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2080_5%_r4.epw,36.46725696872889,15.41155212568716,221523.970965405,25.21903130298398,2.5953699689610605,0.2423735323903781,1.3938604394029723
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2080_5%_r5.epw,38.4656859248908,14.628185924890804,223005.81969300986,25.38772992862202,2.757691175448644,0.6052464712137197,1.909549684669226
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2020_95%_r0.epw,35.48083553442172,13.475279978866167,210755.17496231923,23.993075473852933,2.590975306756102,0.19763341975191248,1.1076933100302262
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2080_5%_r6.epw,37.33277426678999,14.628185924890804,223445.12180334606,25.437741553204944,2.9472259419275595,0.6113814473138062,1.4158683582346492
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2020_95%_r1.epw,35.618335534421725,14.41760378114035,211840.0204781513,24.116577923287462,2.5721273199901566,0.2644559766648437,1.2978710189656382
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP370_2020_5%_r0.epw,35.51073686191722,13.505181306361669,210811.77904246392,23.999519472047062,2.5680946959425106,0.1425063253180409,1.1011656202184326
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2080_5%_r7.epw,38.24809333229821,14.628185924890804,221978.59867666004,25.270787645339908,2.843597605952065,0.6995114179237425,2.109250935685773
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2020_95%_r2.epw,37.04151178850742,13.475279978866167,211201.12543321,24.04384397008371,2.6935044860179085,0.4703863887925567,1.709593616110468
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP370_2020_5%_r1.epw,35.648236861917226,13.505181306361669,211621.39416585484,24.091688771158072,2.514321780631693,0.176993539825695,1.2481274592866698
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2060_95%_r0.epw,38.24037765583376,14.38204432250043,219007.8270497944,24.932585046652044,2.6369474780318085,0.3380429894621259,1.5430153382380332
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2080_5%_r8.epw,38.569571335060594,15.828185924890803,223551.4056490559,25.449841262415752,2.9626977697747847,0.5908504282985511,1.45027620003293
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2020_95%_r3.epw,36.18111096333943,14.14599757145876,210946.36420951976,24.014841098534315,2.676747637882931,0.27581473687354596,0.8754247639853578
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP370_2020_5%_r2.epw,35.98990992210149,13.505181306361669,210989.4853824027,24.01975015737719,2.6304789409383567,0.39965043382278714,1.5602598417902214
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2060_95%_r1.epw,36.52509987805598,15.58204432250043,220102.8021633072,25.057240683436095,2.617792434032044,0.3306470783281912,1.3293424460838676
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2080_5%_r9.epw,38.80735259155747,14.276428252533732,222251.4069301916,25.301845051251963,2.7747087519557923,0.11406816668504306,1.346345499958033
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP245_2020_95%_r4.epw,35.31435102270426,14.199271935648872,211212.43392775743,24.045131367003904,2.5684294501475553,0.19720980105155392,1.3227160226309018
USA_HI_MCB.Hawaii-Kaneohe.Bay.MCAS.Oahu.911760_TMYx.2004-2018_Adjusted_for_HuiOHauulaSSP370_2020_5%_r3.epw,35.17741760019555,13.89822868613109,210597.23768833332,23.975095365247167,2.5995999284889795,0.11944448325258519,0.5148706867884565
