,Year,Change in Temperature (°C),Type,Scenario
0,1850.0,-1.7687820274393857,gcm data point,historical
1,1850.0,0.7281200882165422,gcm data point,historical
2,1850.0,-0.3410684300331468,gcm data point,historical
3,1850.0,-0.4099214311928563,gcm data point,historical
4,1850.0,-1.3751379816917506,gcm data point,historical
5,1850.0,-0.5504511644062404,gcm data point,historical
6,1850.0,-1.3750367784207924,gcm data point,historical
7,1850.0,-0.5036514458698775,gcm data point,historical
8,1850.0,-0.6920719643742927,gcm data point,historical
9,1850.0,0.2531486174723341,gcm data point,historical
10,1850.0,-0.16861292850262544,gcm data point,historical
11,1850.0,-0.12027353247935935,gcm data point,historical
12,1850.0,-1.770053730017196,gcm data point,historical
13,1850.0,-1.2029427139083282,gcm data point,historical
14,1850.0,-1.5531577357642163,gcm data point,historical
15,1850.0,-1.3261001292653418,gcm data point,historical
16,1850.0,-0.8325916904759652,gcm data point,historical
17,1850.0,-1.2338710194287046,gcm data point,historical
18,1850.0,-1.9112861932201781,gcm data point,historical
19,1850.0,-1.9701934729623645,gcm data point,historical
20,1850.0,-0.9739062009904842,gcm data point,historical
21,1850.0,-0.8981046098845127,gcm data point,historical
22,1850.0,-2.7428514847296697,gcm data point,historical
23,1850.0,-2.949042052007826,gcm data point,historical
24,1850.0,-1.4849563422453116,gcm data point,historical
25,1850.0,-0.08466895072911029,gcm data point,historical
26,1850.0,-0.36488832772545265,gcm data point,historical
27,1850.0,-1.7941315500594328,gcm data point,historical
28,1850.0,-0.6556986976619328,gcm data point,historical
29,1850.0,-0.3053845246724336,gcm data point,historical
30,1850.0,-0.14248817543523273,gcm data point,historical
31,1851.0,-2.0557239632348683,gcm data point,historical
32,1851.0,0.7591950662178988,gcm data point,historical
33,1851.0,-0.6448763888125768,gcm data point,historical
34,1851.0,-0.7383856037013175,gcm data point,historical
35,1851.0,-1.1558807225501369,gcm data point,historical
36,1851.0,-0.9593072304761563,gcm data point,historical
37,1851.0,-1.4071389428309544,gcm data point,historical
38,1851.0,-1.3716069317943607,gcm data point,historical
39,1851.0,-0.7347537857953057,gcm data point,historical
40,1851.0,-0.18656612296587127,gcm data point,historical
41,1851.0,-0.4025491639246752,gcm data point,historical
42,1851.0,-0.6225426825452587,gcm data point,historical
43,1851.0,-1.2018442133273766,gcm data point,historical
44,1851.0,-0.5666523112221284,gcm data point,historical
45,1851.0,-0.8565268479829342,gcm data point,historical
46,1851.0,-1.5733893816001796,gcm data point,historical
47,1851.0,-1.2354314282401901,gcm data point,historical
48,1851.0,-1.0724766338261702,gcm data point,historical
49,1851.0,-1.827335994074872,gcm data point,historical
50,1851.0,-2.0824298135918866,gcm data point,historical
51,1851.0,-0.8495027206924988,gcm data point,historical
52,1851.0,-0.9119179561773194,gcm data point,historical
53,1851.0,-2.469440593673255,gcm data point,historical
54,1851.0,-3.1726585841914243,gcm data point,historical
55,1851.0,-1.8759105456974225,gcm data point,historical
56,1851.0,0.02219221388270398,gcm data point,historical
57,1851.0,-0.33149270784809914,gcm data point,historical
58,1851.0,-2.075121872138766,gcm data point,historical
59,1851.0,-0.2757352236480415,gcm data point,historical
60,1851.0,-0.48357054771349794,gcm data point,historical
61,1851.0,-0.3586533842673134,gcm data point,historical
62,1852.0,-1.9006561251038647,gcm data point,historical
63,1852.0,0.47623843665729737,gcm data point,historical
64,1852.0,-0.5638567886897476,gcm data point,historical
65,1852.0,-1.291220980121011,gcm data point,historical
66,1852.0,-1.138583745298945,gcm data point,historical
67,1852.0,-0.9960483641397673,gcm data point,historical
68,1852.0,-1.2691479547739846,gcm data point,historical
69,1852.0,-1.3463107262426774,gcm data point,historical
70,1852.0,-0.8517640072450376,gcm data point,historical
71,1852.0,-0.2757408808405444,gcm data point,historical
72,1852.0,-0.03762175714308569,gcm data point,historical
73,1852.0,-0.3491200771349554,gcm data point,historical
74,1852.0,-1.0229942408535067,gcm data point,historical
75,1852.0,-0.6999903942680703,gcm data point,historical
76,1852.0,-0.8019830460780213,gcm data point,historical
77,1852.0,-1.668007792897015,gcm data point,historical
78,1852.0,-1.0107935295831112,gcm data point,historical
79,1852.0,-1.469583443386,gcm data point,historical
80,1852.0,-2.157493718229034,gcm data point,historical
81,1852.0,-1.6872965760388752,gcm data point,historical
82,1852.0,-1.0112696330664903,gcm data point,historical
83,1852.0,-1.14943019664355,gcm data point,historical
84,1852.0,-2.6717592829913315,gcm data point,historical
85,1852.0,-3.330800648927948,gcm data point,historical
86,1852.0,-1.2820646931056672,gcm data point,historical
87,1852.0,0.060002646878501764,gcm data point,historical
88,1852.0,-0.42885349307334764,gcm data point,historical
89,1852.0,-1.9038588972726416,gcm data point,historical
90,1852.0,-0.1334059489918218,gcm data point,historical
91,1852.0,-0.10674832714272497,gcm data point,historical
92,1852.0,-0.21810103946972959,gcm data point,historical
93,1853.0,-1.9198394575563498,gcm data point,historical
94,1853.0,0.6017821357227149,gcm data point,historical
95,1853.0,-0.3842878191626937,gcm data point,historical
96,1853.0,-1.332545977472023,gcm data point,historical
97,1853.0,-1.2797118072853095,gcm data point,historical
98,1853.0,-1.3760015004495472,gcm data point,historical
99,1853.0,-1.4453874916037535,gcm data point,historical
100,1853.0,-1.0369168759508511,gcm data point,historical
101,1853.0,-1.0618523926838748,gcm data point,historical
102,1853.0,0.09609809140079051,gcm data point,historical
103,1853.0,-0.1265615947098695,gcm data point,historical
104,1853.0,0.1206270272135157,gcm data point,historical
105,1853.0,-0.9606358644424517,gcm data point,historical
106,1853.0,-0.7271300665690319,gcm data point,historical
107,1853.0,-1.2603714221660312,gcm data point,historical
108,1853.0,-1.6084738787509991,gcm data point,historical
109,1853.0,-1.0401082617255497,gcm data point,historical
110,1853.0,-1.0141944856342207,gcm data point,historical
111,1853.0,-2.017989655773931,gcm data point,historical
112,1853.0,-1.9062806681068878,gcm data point,historical
113,1853.0,-0.6731201517026193,gcm data point,historical
114,1853.0,-0.9285090842185468,gcm data point,historical
115,1853.0,-2.936802857928285,gcm data point,historical
116,1853.0,-3.5421232460263354,gcm data point,historical
117,1853.0,-1.2026003200385276,gcm data point,historical
118,1853.0,0.3283346964849443,gcm data point,historical
119,1853.0,-0.4047773236700323,gcm data point,historical
120,1853.0,-2.1647454905497057,gcm data point,historical
121,1853.0,-0.10727326934886605,gcm data point,historical
122,1853.0,-0.9258412904970328,gcm data point,historical
123,1853.0,0.05924497594509148,gcm data point,historical
124,1854.0,-1.2801689616792373,gcm data point,historical
125,1854.0,0.6752135037846756,gcm data point,historical
126,1854.0,-0.5432889607327525,gcm data point,historical
127,1854.0,-1.1277762906193516,gcm data point,historical
128,1854.0,-1.297487754622125,gcm data point,historical
129,1854.0,-1.00374024199931,gcm data point,historical
130,1854.0,-0.7720376158713975,gcm data point,historical
131,1854.0,-0.6861416556447466,gcm data point,historical
132,1854.0,-0.8769644562357826,gcm data point,historical
133,1854.0,-0.11279109515299979,gcm data point,historical
134,1854.0,0.34556067712912863,gcm data point,historical
135,1854.0,-0.04637664015632481,gcm data point,historical
136,1854.0,-0.9213432085234672,gcm data point,historical
137,1854.0,-1.122564093763799,gcm data point,historical
138,1854.0,-1.0041419428494578,gcm data point,historical
139,1854.0,-1.3848820647478988,gcm data point,historical
140,1854.0,-1.2210472911078796,gcm data point,historical
141,1854.0,-1.3571176448743358,gcm data point,historical
142,1854.0,-2.2813520193033128,gcm data point,historical
143,1854.0,-2.0070622301494154,gcm data point,historical
144,1854.0,-0.4801837317118043,gcm data point,historical
145,1854.0,-1.1647261942756586,gcm data point,historical
146,1854.0,-2.744925056316845,gcm data point,historical
147,1854.0,-2.9924251420430323,gcm data point,historical
148,1854.0,-1.2237368953580585,gcm data point,historical
149,1854.0,0.1527120978879566,gcm data point,historical
150,1854.0,-0.2776686419055636,gcm data point,historical
151,1854.0,-1.8610333410514386,gcm data point,historical
152,1854.0,-0.3782658865829376,gcm data point,historical
153,1854.0,-0.5034223580546495,gcm data point,historical
154,1854.0,-0.7550318542497507,gcm data point,historical
155,1855.0,-0.8632719462511886,gcm data point,historical
156,1855.0,0.6058180689286132,gcm data point,historical
157,1855.0,-0.7007948831652584,gcm data point,historical
158,1855.0,-1.1409757832799983,gcm data point,historical
159,1855.0,-1.7303422273936349,gcm data point,historical
160,1855.0,-1.0371884864692902,gcm data point,historical
161,1855.0,-1.0229252742436756,gcm data point,historical
162,1855.0,-1.2238085788064268,gcm data point,historical
163,1855.0,-0.8943235012684454,gcm data point,historical
164,1855.0,-0.30754063259666964,gcm data point,historical
165,1855.0,0.3309952012762096,gcm data point,historical
166,1855.0,0.12427439953455632,gcm data point,historical
167,1855.0,-0.6019316148147027,gcm data point,historical
168,1855.0,-0.8832032941983243,gcm data point,historical
169,1855.0,-0.6183890197914366,gcm data point,historical
170,1855.0,-1.6694101997125017,gcm data point,historical
171,1855.0,-1.0591366981006445,gcm data point,historical
172,1855.0,-0.9880834191279178,gcm data point,historical
173,1855.0,-1.7560497521531033,gcm data point,historical
174,1855.0,-1.5852495439063432,gcm data point,historical
175,1855.0,-0.9076004172517855,gcm data point,historical
176,1855.0,-1.1144380199978627,gcm data point,historical
177,1855.0,-2.5601116148986307,gcm data point,historical
178,1855.0,-2.3640159515335313,gcm data point,historical
179,1855.0,-1.510556715647624,gcm data point,historical
180,1855.0,0.20523992267476387,gcm data point,historical
181,1855.0,-0.0748678607490092,gcm data point,historical
182,1855.0,-1.6290393252818376,gcm data point,historical
183,1855.0,-0.6690096575539997,gcm data point,historical
184,1855.0,-0.40589219715400304,gcm data point,historical
185,1855.0,-0.5295430101131728,gcm data point,historical
186,1856.0,-1.245757373008587,gcm data point,historical
187,1856.0,0.6435238862860615,gcm data point,historical
188,1856.0,-0.4132589630000325,gcm data point,historical
189,1856.0,-1.5378557143865805,gcm data point,historical
190,1856.0,-1.5313072140366444,gcm data point,historical
191,1856.0,-1.011720104623521,gcm data point,historical
192,1856.0,-0.5435555949848094,gcm data point,historical
193,1856.0,-1.0828212919227553,gcm data point,historical
194,1856.0,-0.9250200355450033,gcm data point,historical
195,1856.0,-0.184589074282826,gcm data point,historical
196,1856.0,0.15266834889087022,gcm data point,historical
197,1856.0,0.08399682876944325,gcm data point,historical
198,1856.0,-0.6869651488645445,gcm data point,historical
199,1856.0,-0.8524642437392913,gcm data point,historical
200,1856.0,-1.8151992927813012,gcm data point,historical
201,1856.0,-1.7623005167981773,gcm data point,historical
