,Year,Change in Temperature (°C),Type,Scenario
0,1850.0,-3.3529350466621963,gcm data point,historical
1,1850.0,-2.0136846167384874,gcm data point,historical
2,1850.0,-3.587869242724537,gcm data point,historical
3,1850.0,0.30632310033917065,gcm data point,historical
4,1850.0,0.4160751226592083,gcm data point,historical
5,1850.0,1.0319238062619434,gcm data point,historical
6,1850.0,-0.35314536628050064,gcm data point,historical
7,1850.0,0.46276872041141814,gcm data point,historical
8,1850.0,-1.0407036269994592,gcm data point,historical
9,1850.0,-0.42015741455429634,gcm data point,historical
10,1850.0,-0.8988290035672435,gcm data point,historical
11,1850.0,-2.059594904966275,gcm data point,historical
12,1850.0,-0.6500945511145915,gcm data point,historical
13,1850.0,-1.4036990010759496,gcm data point,historical
14,1850.0,-2.254903498227634,gcm data point,historical
15,1850.0,-0.4380921786715817,gcm data point,historical
16,1850.0,-0.9885337752571672,gcm data point,historical
17,1850.0,-1.3183399858203302,gcm data point,historical
18,1850.0,-2.9910236332399336,gcm data point,historical
19,1850.0,-3.2460578595441802,gcm data point,historical
20,1850.0,0.9360227112201187,gcm data point,historical
21,1850.0,-2.2499217855994402,gcm data point,historical
22,1850.0,0.6036981061204187,gcm data point,historical
23,1850.0,0.8752086301072382,gcm data point,historical
24,1850.0,-2.7212615158694575,gcm data point,historical
25,1850.0,0.5877641652197099,gcm data point,historical
26,1850.0,-3.291517562208014,gcm data point,historical
27,1850.0,-3.395730548548215,gcm data point,historical
28,1850.0,-0.339022148054255,gcm data point,historical
29,1850.0,-2.063712025159532,gcm data point,historical
30,1850.0,-0.23234149411962335,gcm data point,historical
31,1851.0,-4.164148839424001,gcm data point,historical
32,1851.0,-2.8009407980013066,gcm data point,historical
33,1851.0,-2.8819259388749288,gcm data point,historical
34,1851.0,-1.3091778791581987,gcm data point,historical
35,1851.0,-0.6796538880837488,gcm data point,historical
36,1851.0,1.0905643500926772,gcm data point,historical
37,1851.0,-0.7764752076255377,gcm data point,historical
38,1851.0,0.3698298310360997,gcm data point,historical
39,1851.0,-0.20309428088364712,gcm data point,historical
40,1851.0,0.045507644752547094,gcm data point,historical
41,1851.0,-1.2897522344245544,gcm data point,historical
42,1851.0,-1.4592065339666647,gcm data point,historical
43,1851.0,-1.0186871295549622,gcm data point,historical
44,1851.0,-0.4082261165341379,gcm data point,historical
45,1851.0,-1.1621630645321375,gcm data point,historical
46,1851.0,-1.4003390333379002,gcm data point,historical
47,1851.0,-1.2388973476203091,gcm data point,historical
48,1851.0,-0.35134441008432304,gcm data point,historical
49,1851.0,-2.3838195385533822,gcm data point,historical
50,1851.0,-2.9247320738750773,gcm data point,historical
51,1851.0,-0.7493364132708962,gcm data point,historical
52,1851.0,-2.5057890964088188,gcm data point,historical
53,1851.0,0.6082228926516677,gcm data point,historical
54,1851.0,0.050393053146990496,gcm data point,historical
55,1851.0,-1.8193094238299068,gcm data point,historical
56,1851.0,1.0855099833524946,gcm data point,historical
57,1851.0,-3.3578753899312233,gcm data point,historical
58,1851.0,-2.3581886275393344,gcm data point,historical
59,1851.0,-0.4015188424965004,gcm data point,historical
60,1851.0,-2.246068259839774,gcm data point,historical
61,1851.0,0.15629260260959654,gcm data point,historical
62,1852.0,-3.280453276595267,gcm data point,historical
63,1852.0,-3.012850757195565,gcm data point,historical
64,1852.0,-3.7060494616708866,gcm data point,historical
65,1852.0,-0.9120757944059505,gcm data point,historical
66,1852.0,-1.7318496970228807,gcm data point,historical
67,1852.0,0.15491183260797925,gcm data point,historical
68,1852.0,-0.645112302456539,gcm data point,historical
69,1852.0,0.29417015966203053,gcm data point,historical
70,1852.0,-1.8803676363965565,gcm data point,historical
71,1852.0,0.07049103824215308,gcm data point,historical
72,1852.0,-1.7378368027891042,gcm data point,historical
73,1852.0,-2.107590314690242,gcm data point,historical
74,1852.0,-0.5846415312527142,gcm data point,historical
75,1852.0,0.18439795716579965,gcm data point,historical
76,1852.0,-0.6145868453904768,gcm data point,historical
77,1852.0,-0.7632573108870702,gcm data point,historical
78,1852.0,-0.7774937948336174,gcm data point,historical
79,1852.0,-1.7363188361358652,gcm data point,historical
80,1852.0,-1.2519183077947673,gcm data point,historical
81,1852.0,-2.5035115717080316,gcm data point,historical
82,1852.0,-0.323860163657514,gcm data point,historical
83,1852.0,-2.3968477767798504,gcm data point,historical
84,1852.0,0.011239037720315537,gcm data point,historical
85,1852.0,0.13401386176951746,gcm data point,historical
86,1852.0,-1.4343157839371088,gcm data point,historical
87,1852.0,1.9009560067321445,gcm data point,historical
88,1852.0,-2.0116899968473945,gcm data point,historical
89,1852.0,-2.4384462160773523,gcm data point,historical
90,1852.0,-0.01659972949846633,gcm data point,historical
91,1852.0,-0.4176439287180074,gcm data point,historical
92,1852.0,-0.11430948315012301,gcm data point,historical
93,1853.0,-4.008794362082483,gcm data point,historical
94,1853.0,-5.278794705515736,gcm data point,historical
95,1853.0,-3.548176275710148,gcm data point,historical
96,1853.0,-0.761821120300965,gcm data point,historical
97,1853.0,-1.1826375116015697,gcm data point,historical
98,1853.0,-0.8367095037406784,gcm data point,historical
99,1853.0,-0.9266327803762806,gcm data point,historical
100,1853.0,-0.3188947445745498,gcm data point,historical
101,1853.0,-0.6895536712386274,gcm data point,historical
102,1853.0,-0.8661331195675075,gcm data point,historical
103,1853.0,-0.3766871895608688,gcm data point,historical
104,1853.0,-2.8387184185090746,gcm data point,historical
105,1853.0,-0.5592415424781052,gcm data point,historical
106,1853.0,-1.0422250745724568,gcm data point,historical
107,1853.0,-0.34340912400580237,gcm data point,historical
108,1853.0,-2.062163695943468,gcm data point,historical
109,1853.0,-1.027695727519415,gcm data point,historical
110,1853.0,-2.72973186333644,gcm data point,historical
111,1853.0,-1.227444283502109,gcm data point,historical
112,1853.0,-3.32389594960091,gcm data point,historical
113,1853.0,0.6597729769134162,gcm data point,historical
114,1853.0,-0.18343178148973038,gcm data point,historical
115,1853.0,-0.42440804717955416,gcm data point,historical
