,Year,Change in Temperature (°C),Type,Scenario
0,1850.0,-4.543727365265056,gcm data point,historical
1,1850.0,-3.665769891401908,gcm data point,historical
2,1850.0,-3.761571580599366,gcm data point,historical
3,1850.0,-1.6103371410407021,gcm data point,historical
4,1850.0,-2.717677801946877,gcm data point,historical
5,1850.0,1.769542784847772,gcm data point,historical
6,1850.0,-0.3367130940193874,gcm data point,historical
7,1850.0,-1.771685292017196,gcm data point,historical
8,1850.0,0.5719333876429573,gcm data point,historical
9,1850.0,-0.28074964822837956,gcm data point,historical
10,1850.0,-1.278340483947943,gcm data point,historical
11,1850.0,-1.104572675781128,gcm data point,historical
12,1850.0,-0.8877964262651403,gcm data point,historical
13,1850.0,-2.1248015890458873,gcm data point,historical
14,1850.0,-2.099660111079629,gcm data point,historical
15,1850.0,0.8396570233181819,gcm data point,historical
16,1850.0,-0.7568062856080928,gcm data point,historical
17,1850.0,0.045193818468646896,gcm data point,historical
18,1850.0,-3.626140376214721,gcm data point,historical
19,1850.0,-1.5674987190050729,gcm data point,historical
20,1850.0,-0.08009825762314904,gcm data point,historical
21,1850.0,-2.8008538296709276,gcm data point,historical
22,1850.0,-3.441373066649362,gcm data point,historical
23,1850.0,-0.7873305179738281,gcm data point,historical
24,1850.0,-2.9631431569665665,gcm data point,historical
25,1850.0,1.4664317055751326,gcm data point,historical
26,1850.0,-5.3708821811516145,gcm data point,historical
27,1850.0,-6.5217923207050035,gcm data point,historical
28,1850.0,0.9481070278673087,gcm data point,historical
29,1850.0,-4.009092395095934,gcm data point,historical
30,1850.0,-1.2892567512866435,gcm data point,historical
31,1851.0,-5.4551669476210805,gcm data point,historical
32,1851.0,-4.78773195488759,gcm data point,historical
33,1851.0,-4.390160454600164,gcm data point,historical
34,1851.0,-2.405127259194046,gcm data point,historical
35,1851.0,-3.2782170944164477,gcm data point,historical
36,1851.0,2.013537978425859,gcm data point,historical
37,1851.0,-1.3541944392792402,gcm data point,historical
38,1851.0,-0.5872362641296149,gcm data point,historical
39,1851.0,-0.6830771156911055,gcm data point,historical
40,1851.0,-0.44609808782541904,gcm data point,historical
41,1851.0,-0.9953876431500817,gcm data point,historical
42,1851.0,0.1956588189204922,gcm data point,historical
43,1851.0,-1.754600705480584,gcm data point,historical
44,1851.0,-0.8692567295895515,gcm data point,historical
45,1851.0,-3.134692140356094,gcm data point,historical
46,1851.0,0.9031218320206449,gcm data point,historical
47,1851.0,-0.4886517161538677,gcm data point,historical
48,1851.0,-0.07209105943837812,gcm data point,historical
49,1851.0,-2.2888274757149247,gcm data point,historical
50,1851.0,-3.7426383533234002,gcm data point,historical
51,1851.0,-1.7614483408796104,gcm data point,historical
52,1851.0,-4.457142619172828,gcm data point,historical
53,1851.0,-2.919329841529702,gcm data point,historical
54,1851.0,0.6313937931070654,gcm data point,historical
