,Year,Change in Temperature (°C),Type,Scenario
0,1850.0,-4.412405276570837,gcm data point,historical
1,1850.0,-3.8687906163985986,gcm data point,historical
2,1850.0,-3.887705293216868,gcm data point,historical
3,1850.0,-2.084331869187963,gcm data point,historical
4,1850.0,-2.6120051152208816,gcm data point,historical
5,1850.0,1.6618944991845979,gcm data point,historical
6,1850.0,-0.2458916424650397,gcm data point,historical
7,1850.0,-1.7855937941426987,gcm data point,historical
8,1850.0,0.5650519007328398,gcm data point,historical
9,1850.0,-0.22880455072998984,gcm data point,historical
10,1850.0,-1.2953411017010126,gcm data point,historical
11,1850.0,-1.2102088938620454,gcm data point,historical
12,1850.0,-1.2024774350541634,gcm data point,historical
13,1850.0,-2.336325579586685,gcm data point,historical
14,1850.0,-2.483339016814625,gcm data point,historical
15,1850.0,1.2103747318426485,gcm data point,historical
16,1850.0,-0.16175458210614124,gcm data point,historical
17,1850.0,0.6480355748710167,gcm data point,historical
18,1850.0,-2.9235862317410124,gcm data point,historical
19,1850.0,-1.1276556342992876,gcm data point,historical
20,1850.0,-0.255685743607728,gcm data point,historical
21,1850.0,-2.5378331748131586,gcm data point,historical
22,1850.0,-2.9468344363444317,gcm data point,historical
23,1850.0,-0.6167554153889228,gcm data point,historical
24,1850.0,-2.745946733543917,gcm data point,historical
25,1850.0,1.2431398817329864,gcm data point,historical
26,1850.0,-4.961798722443575,gcm data point,historical
27,1850.0,-6.409331715529561,gcm data point,historical
28,1850.0,0.8601045968384824,gcm data point,historical
29,1850.0,-3.5764630300565727,gcm data point,historical
30,1850.0,-0.9169435907712682,gcm data point,historical
31,1851.0,-5.154283046759588,gcm data point,historical
32,1851.0,-5.216929347096709,gcm data point,historical
33,1851.0,-4.4908905418427025,gcm data point,historical
34,1851.0,-2.850026830519141,gcm data point,historical
35,1851.0,-3.3317191834726145,gcm data point,historical
36,1851.0,1.941114467455293,gcm data point,historical
37,1851.0,-1.3026131944185977,gcm data point,historical
38,1851.0,-0.6132282147999035,gcm data point,historical
39,1851.0,-0.5337749152317315,gcm data point,historical
40,1851.0,-0.3809415811788881,gcm data point,historical
41,1851.0,-1.0725660842604725,gcm data point,historical
42,1851.0,0.05046254502354941,gcm data point,historical
43,1851.0,-2.0305262440450065,gcm data point,historical
44,1851.0,-1.1488238367140298,gcm data point,historical
45,1851.0,-3.3496078957661553,gcm data point,historical
46,1851.0,1.2372625213183142,gcm data point,historical
47,1851.0,-0.006610169777161445,gcm data point,historical
48,1851.0,0.42254297440274513,gcm data point,historical
49,1851.0,-1.6361402514591532,gcm data point,historical
